FID,TID,PRICE,YEAR,MONTH
3,50,30,2018,2
3,51,70,2018,2
3,52,60,2018,2
3,53,60,2018,2
3,54,50,2018,2
4,1,70,2015,7
4,2,40,2015,7
4,3,50,2015,7
4,4,70,2015,7
4,5,50,2015,7
4,6,70,2015,7
4,7,70,2015,7
4,8,60,2015,7
4,9,50,2015,7
4,10,50,2015,7
4,11,60,2015,7
4,12,50,2015,7
4,13,80,2015,7
4,14,40,2015,7
4,15,60,2015,7
4,16,70,2015,7
4,17,60,2015,7
4,18,60,2015,7
4,19,40,2015,7
4,20,40,2015,7
4,21,70,2015,7
4,22,70,2015,7
4,23,50,2015,7
4,24,40,2015,7
4,25,70,2015,7
4,26,60,2015,7
4,27,70,2015,7
4,28,40,2015,7
4,29,50,2015,7
4,30,80,2015,7
4,31,40,2015,7
4,32,50,2015,7
4,33,70,2015,7
4,34,50,2015,7
4,35,30,2015,7
4,36,30,2015,7
4,37,40,2015,7
4,38,30,2015,7
4,39,50,2015,7
4,40,30,2015,7
4,41,70,2015,7
4,42,80,2015,7
4,43,40,2015,7
4,44,60,2015,7
4,45,70,2015,7
4,46,80,2015,7
4,47,80,2015,7
4,48,80,2015,7
4,49,70,2015,7
4,50,40,2015,7
4,51,30,2015,7
4,52,50,2015,7
4,53,80,2015,7
4,54,70,2015,7
5,1,60,2018,2
5,2,70,2018,2
5,3,50,2018,2
5,4,40,2018,2
5,5,70,2018,2
5,6,70,2018,2
5,7,70,2018,2
5,8,70,2018,2
5,9,60,2018,2
5,10,70,2018,2
5,11,60,2018,2
5,12,50,2018,2
5,13,60,2018,2
5,14,70,2018,2
5,15,70,2018,2
5,16,60,2018,2
5,17,50,2018,2
5,18,60,2018,2
5,19,80,2018,2
5,20,80,2018,2
5,21,60,2018,2
5,22,80,2018,2
5,23,60,2018,2
5,24,50,2018,2
5,25,50,2018,2
5,26,70,2018,2
5,27,50,2018,2
5,28,30,2018,2
5,29,40,2018,2
5,30,70,2018,2
5,31,70,2018,2
5,32,70,2018,2
5,33,50,2018,2
5,34,50,2018,2
5,35,70,2018,2
5,36,40,2018,2
5,37,30,2018,2
5,38,30,2018,2
5,39,70,2018,2
5,40,60,2018,2
5,41,70,2018,2
5,42,80,2018,2
5,43,80,2018,2
5,44,60,2018,2
5,45,70,2018,2
5,46,60,2018,2
5,47,60,2018,2
5,48,70,2018,2
5,49,80,2018,2
5,50,80,2018,2
5,51,60,2018,2
5,52,60,2018,2
5,53,50,2018,2
5,54,50,2018,2
6,1,50,2016,1
6,2,40,2016,1
6,3,40,2016,1
6,4,60,2016,1
6,5,80,2016,1
6,6,40,2016,1
6,7,40,2016,1
6,8,70,2016,1
6,9,70,2016,1
6,10,40,2016,1
6,11,80,2016,1
6,12,40,2016,1
6,13,40,2016,1
6,14,70,2016,1
6,15,50,2016,1
6,16,60,2016,1
6,17,30,2016,1
6,18,30,2016,1
6,19,70,2016,1
6,20,30,2016,1
6,21,70,2016,1
6,22,40,2016,1
6,23,40,2016,1
6,24,60,2016,1
6,25,40,2016,1
6,26,40,2016,1
6,27,80,2016,1
6,28,50,2016,1
6,29,50,2016,1
6,30,50,2016,1
6,31,30,2016,1
6,32,80,2016,1
6,33,40,2016,1
6,34,50,2016,1
6,35,70,2016,1
6,36,50,2016,1
6,37,80,2016,1
6,38,80,2016,1
6,39,30,2016,1
6,40,60,2016,1
6,41,60,2016,1
6,42,60,2016,1
6,43,40,2016,1
6,44,70,2016,1
6,45,70,2016,1
6,46,50,2016,1
6,47,40,2016,1
6,48,40,2016,1
6,49,30,2016,1
6,50,40,2016,1
6,51,60,2016,1
6,52,50,2016,1
6,53,30,2016,1
6,54,40,2016,1
7,1,60,2013,12
7,2,40,2013,12
7,3,40,2013,12
7,4,70,2013,12
7,5,60,2013,12
7,6,70,2013,12
7,7,50,2013,12
7,8,70,2013,12
7,9,70,2013,12
7,10,50,2013,12
7,11,70,2013,12
7,12,40,2013,12
7,13,70,2013,12
7,14,40,2013,12
7,15,40,2013,12
7,16,80,2013,12
7,17,40,2013,12
7,18,60,2013,12
7,19,60,2013,12
7,20,80,2013,12
7,21,80,2013,12
7,22,70,2013,12
7,23,80,2013,12
7,24,60,2013,12
7,25,80,2013,12
7,26,50,2013,12
7,27,50,2013,12
7,28,70,2013,12
7,29,60,2013,12
7,30,40,2013,12
7,31,50,2013,12
7,32,50,2013,12
7,33,30,2013,12
7,34,70,2013,12
7,35,70,2013,12
7,36,80,2013,12
7,37,70,2013,12
7,38,50,2013,12
7,39,40,2013,12
7,40,40,2013,12
7,41,70,2013,12
7,42,60,2013,12
7,43,70,2013,12
7,44,80,2013,12
7,45,50,2013,12
7,46,50,2013,12
7,47,40,2013,12
7,48,70,2013,12
7,49,70,2013,12
7,50,30,2013,12
7,51,60,2013,12
7,52,50,2013,12
7,53,60,2013,12
7,54,40,2013,12
8,1,70,2014,12
8,2,60,2014,12
8,3,70,2014,12
8,4,50,2014,12
8,5,70,2014,12
8,6,30,2014,12
8,7,40,2014,12
8,8,60,2014,12
8,9,30,2014,12
8,10,70,2014,12
8,11,60,2014,12
8,12,60,2014,12
8,13,70,2014,12
8,14,80,2014,12
8,15,70,2014,12
8,16,60,2014,12
8,17,30,2014,12
8,18,80,2014,12
8,19,70,2014,12
8,20,60,2014,12
8,21,30,2014,12
8,22,70,2014,12
8,23,80,2014,12
8,24,40,2014,12
8,25,70,2014,12
8,26,70,2014,12
8,27,30,2014,12
8,28,70,2014,12
8,29,50,2014,12
8,30,50,2014,12
8,31,40,2014,12
8,32,40,2014,12
8,33,50,2014,12
8,34,40,2014,12
8,35,60,2014,12
8,36,40,2014,12
8,37,50,2014,12
8,38,80,2014,12
8,39,60,2014,12
8,40,40,2014,12
8,41,30,2014,12
8,42,80,2014,12
8,43,60,2014,12
8,44,50,2014,12
8,45,70,2014,12
8,46,50,2014,12
8,47,40,2014,12
8,48,40,2014,12
8,49,70,2014,12
8,50,50,2014,12
8,51,50,2014,12
8,52,50,2014,12
8,53,30,2014,12
8,54,70,2014,12
9,1,80,2015,7
9,2,70,2015,7
9,3,50,2015,7
9,4,30,2015,7
9,5,60,2015,7
9,6,80,2015,7
9,7,30,2015,7
9,8,30,2015,7
9,9,40,2015,7
9,10,60,2015,7
9,11,40,2015,7
9,12,30,2015,7
9,13,40,2015,7
9,14,50,2015,7
9,15,70,2015,7
9,16,70,2015,7
9,17,40,2015,7
9,18,80,2015,7
9,19,40,2015,7
9,20,50,2015,7
9,21,30,2015,7
9,22,80,2015,7
9,23,50,2015,7
9,24,50,2015,7
9,25,70,2015,7
9,26,30,2015,7
9,27,40,2015,7
9,28,40,2015,7
9,29,70,2015,7
9,30,30,2015,7
9,31,50,2015,7
9,32,40,2015,7
9,33,30,2015,7
9,34,60,2015,7
9,35,50,2015,7
9,36,50,2015,7
9,37,70,2015,7
9,38,70,2015,7
9,39,40,2015,7
9,40,70,2015,7
9,41,40,2015,7
9,42,40,2015,7
9,43,80,2015,7
9,44,40,2015,7
9,45,60,2015,7
9,46,30,2015,7
9,47,30,2015,7
9,48,70,2015,7
9,49,30,2015,7
9,50,40,2015,7
9,51,50,2015,7
9,52,30,2015,7
9,53,60,2015,7
9,54,70,2015,7
10,1,30,2015,4
10,2,70,2015,4
10,3,40,2015,4
10,4,60,2015,4
10,5,80,2015,4
10,6,50,2015,4
10,7,40,2015,4
10,8,40,2015,4
10,9,60,2015,4
10,10,60,2015,4
10,11,40,2015,4
10,12,80,2015,4
10,13,40,2015,4
10,14,30,2015,4
10,15,40,2015,4
10,16,80,2015,4
10,17,60,2015,4
10,18,70,2015,4
10,19,50,2015,4
10,20,60,2015,4
10,21,80,2015,4
10,22,50,2015,4
10,23,30,2015,4
10,24,30,2015,4
10,25,40,2015,4
10,26,70,2015,4
10,27,50,2015,4
10,28,40,2015,4
10,29,40,2015,4
10,30,30,2015,4
10,31,70,2015,4
10,32,50,2015,4
10,33,50,2015,4
10,34,50,2015,4
10,35,70,2015,4
10,36,60,2015,4
10,37,30,2015,4
10,38,40,2015,4
10,39,60,2015,4
10,40,80,2015,4
10,41,40,2015,4
10,42,60,2015,4
10,43,30,2015,4
10,44,70,2015,4
10,45,70,2015,4
10,46,70,2015,4
10,47,60,2015,4
10,48,70,2015,4
10,49,40,2015,4
10,50,60,2015,4
10,51,80,2015,4
10,52,80,2015,4
10,53,60,2015,4
10,54,70,2015,4
11,1,70,2017,7
11,2,80,2017,7
11,3,40,2017,7
11,4,60,2017,7
11,5,80,2017,7
11,6,80,2017,7
11,7,40,2017,7
11,8,50,2017,7
11,9,70,2017,7
11,10,30,2017,7
11,11,40,2017,7
11,12,70,2017,7
11,13,80,2017,7
11,14,30,2017,7
11,15,70,2017,7
11,16,50,2017,7
11,17,50,2017,7
11,18,40,2017,7
11,19,30,2017,7
11,20,60,2017,7
11,21,50,2017,7
11,22,80,2017,7
11,23,70,2017,7
11,24,40,2017,7
11,25,50,2017,7
11,26,30,2017,7
11,27,50,2017,7
11,28,50,2017,7
11,29,50,2017,7
11,30,30,2017,7
11,31,60,2017,7
11,32,60,2017,7
11,33,60,2017,7
11,34,30,2017,7
11,35,40,2017,7
11,36,60,2017,7
11,37,40,2017,7
11,38,50,2017,7
11,39,70,2017,7
11,40,40,2017,7
11,41,40,2017,7
11,42,70,2017,7
11,43,50,2017,7
11,44,50,2017,7
11,45,40,2017,7
11,46,40,2017,7
11,47,70,2017,7
11,48,70,2017,7
11,49,60,2017,7
11,50,80,2017,7
11,51,70,2017,7
11,52,70,2017,7
11,53,60,2017,7
11,54,70,2017,7
12,1,40,2006,6
12,2,60,2006,6
12,3,60,2006,6
12,4,70,2006,6
12,5,40,2006,6
12,6,70,2006,6
12,7,50,2006,6
12,8,40,2006,6
12,9,30,2006,6
12,10,50,2006,6
12,11,60,2006,6
12,12,50,2006,6
12,13,60,2006,6
12,14,40,2006,6
12,15,30,2006,6
12,16,40,2006,6
12,17,70,2006,6
12,18,80,2006,6
12,19,80,2006,6
12,20,40,2006,6
12,21,70,2006,6
12,22,80,2006,6
12,23,30,2006,6
12,24,80,2006,6
12,25,40,2006,6
12,26,50,2006,6
12,27,50,2006,6
12,28,80,2006,6
12,29,70,2006,6
12,30,50,2006,6
12,31,70,2006,6
12,32,60,2006,6
12,33,30,2006,6
12,34,60,2006,6
12,35,40,2006,6
12,36,60,2006,6
12,37,80,2006,6
12,38,50,2006,6
12,39,50,2006,6
12,40,40,2006,6
12,41,60,2006,6
12,42,80,2006,6
12,43,40,2006,6
12,44,70,2006,6
12,45,70,2006,6
12,46,40,2006,6
12,47,80,2006,6
12,48,70,2006,6
12,49,70,2006,6
12,50,40,2006,6
12,51,30,2006,6
12,52,50,2006,6
12,53,70,2006,6
12,54,80,2006,6
FID,TID,PRICE,YEAR,MONTH
1,1,50,2018,2
1,2,40,2018,2
1,3,30,2018,2
1,4,50,2018,2
1,5,70,2018,2
1,6,80,2018,2
1,7,80,2018,2
1,8,70,2018,2
1,9,60,2018,2
1,10,80,2018,2
1,11,60,2018,2
1,12,70,2018,2
1,13,30,2018,2
1,14,30,2018,2
1,15,50,2018,2
1,16,60,2018,2
1,17,80,2018,2
1,18,80,2018,2
1,19,30,2018,2
1,20,50,2018,2
1,21,70,2018,2
1,22,50,2018,2
1,23,60,2018,2
1,24,50,2018,2
1,25,60,2018,2
1,26,40,2018,2
1,27,50,2018,2
1,28,40,2018,2
1,29,40,2018,2
1,30,70,2018,2
1,31,60,2018,2
1,32,60,2018,2
1,33,30,2018,2
1,34,70,2018,2
1,35,60,2018,2
1,36,30,2018,2
1,37,50,2018,2
1,38,80,2018,2
1,39,40,2018,2
1,40,50,2018,2
1,41,30,2018,2
1,42,70,2018,2
1,43,80,2018,2
1,44,50,2018,2
1,45,70,2018,2
1,46,50,2018,2
1,47,50,2018,2
1,48,60,2018,2
1,49,80,2018,2
1,50,60,2018,2
1,51,30,2018,2
1,52,40,2018,2
1,53,40,2018,2
1,54,30,2018,2
2,1,80,2018,1
2,2,60,2018,1
2,3,50,2018,1
2,4,50,2018,1
2,5,70,2018,2
2,6,70,2018,1
2,7,40,2018,1
2,8,30,2018,1
2,9,60,2018,1
2,10,30,2018,1
2,11,40,2018,1
2,12,70,2018,1
2,13,50,2018,1
2,14,70,2018,1
2,15,60,2018,1
2,16,70,2018,1
2,17,30,2018,1
2,18,80,2018,1
2,19,50,2018,1
2,20,70,2018,1
2,21,60,2018,1
2,22,30,2018,1
2,23,40,2018,1
2,24,70,2018,1
2,25,70,2018,1
2,26,80,2018,1
2,27,50,2018,1
2,28,80,2018,1
2,29,80,2018,1
2,30,60,2018,1
2,31,80,2018,1
2,32,30,2018,1
2,33,60,2018,1
2,34,70,2018,1
2,35,40,2018,1
2,36,40,2018,1
2,37,50,2018,1
2,38,30,2018,1
2,39,40,2018,1
2,40,60,2018,1
2,41,30,2018,1
2,42,30,2018,1
2,43,80,2018,1
2,44,40,2018,1
2,45,50,2018,1
2,46,60,2018,1
2,47,70,2018,1
2,48,70,2018,1
2,49,40,2018,1
2,50,70,2018,1
2,51,60,2018,1
2,52,60,2018,1
2,53,30,2018,1
2,54,50,2018,1
3,1,40,2018,2
3,2,60,2018,2
3,3,70,2018,2
3,4,60,2018,2
3,5,60,2018,2
3,6,60,2018,2
3,7,60,2018,2
3,8,30,2018,2
3,9,40,2018,2
3,10,40,2018,2
3,11,40,2018,2
3,12,50,2018,2
3,13,50,2018,2
3,14,50,2018,2
3,15,50,2018,2
3,16,80,2018,2
3,17,40,2018,2
3,18,70,2018,2
3,19,70,2018,2
3,20,60,2018,2
3,21,30,2018,2
3,22,30,2018,2
3,23,80,2018,2
3,24,40,2018,2
3,25,40,2018,2
3,26,40,2018,2
3,27,40,2018,2
3,28,70,2018,2
3,29,40,2018,2
3,30,60,2018,2
3,31,80,2018,2
3,32,50,2018,2
3,33,70,2018,2
3,34,50,2018,2
3,35,30,2018,2
3,36,40,2018,2
3,37,60,2018,2
3,38,60,2018,2
3,39,40,2018,2
3,40,50,2018,2
3,41,50,2018,2
3,42,80,2018,2
3,43,40,2018,2
3,44,30,2018,2
3,45,60,2018,2
3,46,40,2018,2
3,47,30,2018,2
3,48,70,2018,2
3,49,50,2018,2
3,50,30,2018,2
3,51,70,2018,2
3,52,60,2018,2
3,53,60,2018,2
3,54,50,2018,2
4,1,70,2015,7
4,2,40,2015,7
4,3,50,2015,7
4,4,70,2015,7
4,5,50,2015,7
4,6,70,2015,7
4,7,70,2015,7
4,8,60,2015,7
4,9,50,2015,7
4,10,50,2015,7
4,11,60,2015,7
4,12,50,2015,7
4,13,80,2015,7
4,14,40,2015,7
4,15,60,2015,7
4,16,70,2015,7
4,17,60,2015,7
4,18,60,2015,7
4,19,40,2015,7
4,20,40,2015,7
4,21,70,2015,7
4,22,70,2015,7
4,23,50,2015,7
4,24,40,2015,7
4,25,70,2015,7
4,26,60,2015,7
4,27,70,2015,7
4,28,40,2015,7
4,29,50,2015,7
4,30,80,2015,7
4,31,40,2015,7
4,32,50,2015,7
4,33,70,2015,7
4,34,50,2015,7
4,35,30,2015,7
4,36,30,2015,7
4,37,40,2015,7
4,38,30,2015,7
4,39,50,2015,7
4,40,30,2015,7
4,41,70,2015,7
4,42,80,2015,7
4,43,40,2015,7
4,44,60,2015,7
4,45,70,2015,7
4,46,80,2015,7
4,47,80,2015,7
4,48,80,2015,7
4,49,70,2015,7
4,50,40,2015,7
4,51,30,2015,7
4,52,50,2015,7
4,53,80,2015,7
4,54,70,2015,7
5,1,60,2018,2
5,2,70,2018,2
5,3,50,2018,2
5,4,40,2018,2
5,5,70,2018,2
5,6,70,2018,2
5,7,70,2018,2
5,8,70,2018,2
5,9,60,2018,2
5,10,70,2018,2
5,11,60,2018,2
5,12,50,2018,2
5,13,60,2018,2
5,14,70,2018,2
5,15,70,2018,2
5,16,60,2018,2
5,17,50,2018,2
5,18,60,2018,2
5,19,80,2018,2
5,20,80,2018,2
5,21,60,2018,2
5,22,80,2018,2
5,23,60,2018,2
5,24,50,2018,2
5,25,50,2018,2
5,26,70,2018,2
5,27,50,2018,2
5,28,30,2018,2
5,29,40,2018,2
5,30,70,2018,2
5,31,70,2018,2
5,32,70,2018,2
5,33,50,2018,2
5,34,50,2018,2
5,35,70,2018,2
5,36,40,2018,2
5,37,30,2018,2
5,38,30,2018,2
5,39,70,2018,2
5,40,60,2018,2
5,41,70,2018,2
5,42,80,2018,2
5,43,80,2018,2
5,44,60,2018,2
5,45,70,2018,2
5,46,60,2018,2
5,47,60,2018,2
5,48,70,2018,2
5,49,80,2018,2
5,50,80,2018,2
5,51,60,2018,2
5,52,60,2018,2
5,53,50,2018,2
5,54,50,2018,2
6,1,50,2016,1
6,2,40,2016,1
6,3,40,2016,1
6,4,60,2016,1
6,5,80,2016,1
6,6,40,2016,1
6,7,40,2016,1
6,8,70,2016,1
6,9,70,2016,1
6,10,40,2016,1
6,11,80,2016,1
6,12,40,2016,1
6,13,40,2016,1
6,14,70,2016,1
6,15,50,2016,1
6,16,60,2016,1
6,17,30,2016,1
6,18,30,2016,1
6,19,70,2016,1
6,20,30,2016,1
6,21,70,2016,1
6,22,40,2016,1
6,23,40,2016,1
6,24,60,2016,1
6,25,40,2016,1
6,26,40,2016,1
6,27,80,2016,1
6,28,50,2016,1
6,29,50,2016,1
6,30,50,2016,1
6,31,30,2016,1
6,32,80,2016,1
6,33,40,2016,1
6,34,50,2016,1
6,35,70,2016,1
6,36,50,2016,1
6,37,80,2016,1
6,38,80,2016,1
6,39,30,2016,1
6,40,60,2016,1
6,41,60,2016,1
6,42,60,2016,1
6,43,40,2016,1
6,44,70,2016,1
6,45,70,2016,1
6,46,50,2016,1
6,47,40,2016,1
6,48,40,2016,1
6,49,30,2016,1
6,50,40,2016,1
6,51,60,2016,1
6,52,50,2016,1
6,53,30,2016,1
6,54,40,2016,1
7,1,60,2013,12
7,2,40,2013,12
7,3,40,2013,12
7,4,70,2013,12
7,5,60,2013,12
7,6,70,2013,12
7,7,50,2013,12
7,8,70,2013,12
7,9,70,2013,12
7,10,50,2013,12
7,11,70,2013,12
7,12,40,2013,12
7,13,70,2013,12
7,14,40,2013,12
7,15,40,2013,12
7,16,80,2013,12
7,17,40,2013,12
7,18,60,2013,12
7,19,60,2013,12
7,20,80,2013,12
7,21,80,2013,12
7,22,70,2013,12
7,23,80,2013,12
7,24,60,2013,12
7,25,80,2013,12
7,26,50,2013,12
7,27,50,2013,12
7,28,70,2013,12
7,29,60,2013,12
7,30,40,2013,12
7,31,50,2013,12
7,32,50,2013,12
7,33,30,2013,12
7,34,70,2013,12
7,35,70,2013,12
7,36,80,2013,12
7,37,70,2013,12
7,38,50,2013,12
7,39,40,2013,12
7,40,40,2013,12
7,41,70,2013,12
7,42,60,2013,12
7,43,70,2013,12
7,44,80,2013,12
7,45,50,2013,12
7,46,50,2013,12
7,47,40,2013,12
7,48,70,2013,12
7,49,70,2013,12
7,50,30,2013,12
7,51,60,2013,12
7,52,50,2013,12
7,53,60,2013,12
7,54,40,2013,12
8,1,70,2014,12
8,2,60,2014,12
8,3,70,2014,12
8,4,50,2014,12
8,5,70,2014,12
8,6,30,2014,12
8,7,40,2014,12
8,8,60,2014,12
8,9,30,2014,12
8,10,70,2014,12
8,11,60,2014,12
8,12,60,2014,12
8,13,70,2014,12
8,14,80,2014,12
8,15,70,2014,12
8,16,60,2014,12
8,17,30,2014,12
8,18,80,2014,12
8,19,70,2014,12
8,20,60,2014,12
8,21,30,2014,12
8,22,70,2014,12
8,23,80,2014,12
8,24,40,2014,12
8,25,70,2014,12
8,26,70,2014,12
8,27,30,2014,12
8,28,70,2014,12
8,29,50,2014,12
8,30,50,2014,12
8,31,40,2014,12
8,32,40,2014,12
8,33,50,2014,12
8,34,40,2014,12
8,35,60,2014,12
8,36,40,2014,12
8,37,50,2014,12
8,38,80,2014,12
8,39,60,2014,12
8,40,40,2014,12
8,41,30,2014,12
8,42,80,2014,12
8,43,60,2014,12
8,44,50,2014,12
8,45,70,2014,12
8,46,50,2014,12
8,47,40,2014,12
8,48,40,2014,12
8,49,70,2014,12
8,50,50,2014,12
8,51,50,2014,12
8,52,50,2014,12
8,53,30,2014,12
8,54,70,2014,12
9,1,80,2015,7
9,2,70,2015,7
9,3,50,2015,7
9,4,30,2015,7
9,5,60,2015,7
9,6,80,2015,7
9,7,30,2015,7
9,8,30,2015,7
9,9,40,2015,7
9,10,60,2015,7
9,11,40,2015,7
9,12,30,2015,7
9,13,40,2015,7
9,14,50,2015,7
9,15,70,2015,7
9,16,70,2015,7
9,17,40,2015,7
9,18,80,2015,7
9,19,40,2015,7
9,20,50,2015,7
9,21,30,2015,7
9,22,80,2015,7
9,23,50,2015,7
9,24,50,2015,7
9,25,70,2015,7
9,26,30,2015,7
9,27,40,2015,7
9,28,40,2015,7
9,29,70,2015,7
9,30,30,2015,7
9,31,50,2015,7
9,32,40,2015,7
9,33,30,2015,7
9,34,60,2015,7
9,35,50,2015,7
9,36,50,2015,7
9,37,70,2015,7
9,38,70,2015,7
9,39,40,2015,7
9,40,70,2015,7
9,41,40,2015,7
9,42,40,2015,7
9,43,80,2015,7
9,44,40,2015,7
9,45,60,2015,7
9,46,30,2015,7
9,47,30,2015,7
9,48,70,2015,7
9,49,30,2015,7
9,50,40,2015,7
9,51,50,2015,7
9,52,30,2015,7
9,53,60,2015,7
9,54,70,2015,7
10,1,30,2015,4
10,2,70,2015,4
10,3,40,2015,4
10,4,60,2015,4
10,5,80,2015,4
10,6,50,2015,4
10,7,40,2015,4
10,8,40,2015,4
10,9,60,2015,4
10,10,60,2015,4
10,11,40,2015,4
10,12,80,2015,4
10,13,40,2015,4
10,14,30,2015,4
10,15,40,2015,4
10,16,80,2015,4
10,17,60,2015,4
10,18,70,2015,4
10,19,50,2015,4
10,20,60,2015,4
10,21,80,2015,4
10,22,50,2015,4
10,23,30,2015,4
10,24,30,2015,4
10,25,40,2015,4
10,26,70,2015,4
10,27,50,2015,4
10,28,40,2015,4
10,29,40,2015,4
10,30,30,2015,4
10,31,70,2015,4
10,32,50,2015,4
10,33,50,2015,4
10,34,50,2015,4
10,35,70,2015,4
10,36,60,2015,4
10,37,30,2015,4
10,38,40,2015,4
10,39,60,2015,4
10,40,80,2015,4
10,41,40,2015,4
10,42,60,2015,4
10,43,30,2015,4
10,44,70,2015,4
10,45,70,2015,4
10,46,70,2015,4
10,47,60,2015,4
10,48,70,2015,4
10,49,40,2015,4
10,50,60,2015,4
10,51,80,2015,4
10,52,80,2015,4
10,53,60,2015,4
10,54,70,2015,4
11,1,70,2017,7
11,2,80,2017,7
11,3,40,2017,7
11,4,60,2017,7
11,5,80,2017,7
11,6,80,2017,7
11,7,40,2017,7
11,8,50,2017,7
11,9,70,2017,7
11,10,30,2017,7
11,11,40,2017,7
11,12,70,2017,7
11,13,80,2017,7
11,14,30,2017,7
11,15,70,2017,7
11,16,50,2017,7
11,17,50,2017,7
11,18,40,2017,7
11,19,30,2017,7
11,20,60,2017,7
11,21,50,2017,7
11,22,80,2017,7
11,23,70,2017,7
11,24,40,2017,7
11,25,50,2017,7
11,26,30,2017,7
11,27,50,2017,7
11,28,50,2017,7
11,29,50,2017,7
11,30,30,2017,7
11,31,60,2017,7
11,32,60,2017,7
11,33,60,2017,7
11,34,30,2017,7
11,35,40,2017,7
11,36,60,2017,7
11,37,40,2017,7
11,38,50,2017,7
11,39,70,2017,7
11,40,40,2017,7
11,41,40,2017,7
11,42,70,2017,7
11,43,50,2017,7
11,44,50,2017,7
11,45,40,2017,7
11,46,40,2017,7
11,47,70,2017,7
11,48,70,2017,7
11,49,60,2017,7
11,50,80,2017,7
11,51,70,2017,7
11,52,70,2017,7
11,53,60,2017,7
11,54,70,2017,7
12,1,40,2006,6
12,2,60,2006,6
12,3,60,2006,6
12,4,70,2006,6
12,5,40,2006,6
12,6,70,2006,6
12,7,50,2006,6
12,8,40,2006,6
12,9,30,2006,6
12,10,50,2006,6
12,11,60,2006,6
12,12,50,2006,6
12,13,60,2006,6
12,14,40,2006,6
12,15,30,2006,6
12,16,40,2006,6
12,17,70,2006,6
12,18,80,2006,6
12,19,80,2006,6
12,20,40,2006,6
12,21,70,2006,6
12,22,80,2006,6
12,23,30,2006,6
12,24,80,2006,6
12,25,40,2006,6
